2 3 8
2 4 10
2 9 2
2 11 5
3 4 6
3 11 3
4 11 3
11 24 9
11 25 7
11 26 12
11 27 31
11 28 17
11 29 8
11 30 2
11 32 3
11 34 2
11 35 3
11 36 3
11 37 2
11 38 2
11 39 2
11 44 3
11 50 2
11 52 2
11 56 19
11 59 4
13 24 2
17 18 4
17 19 4
17 20 4
17 21 3
17 22 3
17 23 3
17 24 3
18 19 4
18 20 4
18 21 3
18 22 3
18 23 3
18 24 3
19 20 4
19 21 3
19 22 3
19 23 3
19 24 3
20 21 4
20 22 3
20 23 3
20 24 3
21 22 5
21 23 4
21 24 4
22 23 4
22 24 4
23 24 4
24 25 2
24 28 5
24 32 2
25 26 13
25 27 4
25 42 2
26 28 5
26 42 3
26 43 2
26 56 2
26 69 5
26 70 6
26 71 4
26 76 3
27 50 3
27 52 2
27 56 21
27 73 2
28 59 6
28 70 2
29 45 3
29 46 2
30 35 2
30 36 2
31 32 2
35 36 3
35 37 2
35 38 2
35 39 2
36 37 2
36 38 2
36 39 2
37 38 2
37 39 2
38 39 2
42 43 2
42 56 5
47 49 2
49 56 4
49 59 7
49 60 6
49 62 2
49 63 7
49 64 5
49 65 5
49 66 3
49 74 2
49 75 2
50 52 9
50 56 12
52 55 2
52 56 6
56 59 7
56 60 5
56 63 9
56 65 5
56 66 2
58 60 2
58 63 2
58 64 2
58 68 3
59 60 15
59 61 4
59 62 6
59 63 17
59 64 4
59 65 10
59 66 5
59 67 3
60 61 2
60 62 5
60 63 13
60 64 5
60 65 9
60 66 5
61 62 2
61 63 3
61 64 2
61 65 2
61 66 2
62 63 6
62 64 3
62 65 6
62 66 5
63 64 6
63 65 12
63 66 5
63 67 2
64 65 4
64 66 5
65 66 7
65 67 3
66 67 2
69 70 6
69 71 4
69 72 2
69 76 3
70 71 4
70 72 2
70 76 3
71 72 2
74 75 3
